username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Ultimate Football,2956785760,Welwyn Garden City,2023-01-22 21:00:33,"Lads on Toure 2.0 at our Wednesday league

Best of luck guys!

#6aside #5aside #football #league #welwyngardencity… https://t.co/Ph98Xpzp6D",0,Buffer,
Wayne Ellis,164773655,"Letchworth, UK",2023-01-22 20:53:57,"@NFLUK @BuffaloBills Playoff Football in the snow, doesn’t get any better than this",0,Twitter Web App,
Levi Yearwood,291232328,"Luton, England",2023-01-22 20:00:51,Saka is the best right winger in world football btw,0,Twitter for iPhone,
Red devil,3067690282,Luton,2023-01-22 19:58:57,Lampard holds crunch talks with Moshiri as Everton board consider change of manager https://t.co/2mpkyn517W,0,Twitter Web App,
Red devil,3067690282,Luton,2023-01-22 19:56:37,Neville lauds Rashford after he opened the scoring against Arsenal https://t.co/uWAq0alZFF via @MailSport,0,Twitter Web App,
Red devil,3067690282,Luton,2023-01-22 19:55:53,'He's unplayable:' Fans react to Marcus Rashford's stunning goal https://t.co/pfgJ4os9M2 via @MailSport,0,Twitter Web App,
Red devil,3067690282,Luton,2023-01-22 19:55:09,Keane slams Wan-Bissaka after he was at fault for Arsenal's first goal https://t.co/3I3vKIHAQY via @MailSport,0,Twitter Web App,
Andrew Christou,295202338,broxbourne,2023-01-22 19:54:31,"Wether we win the league or not , the Arsenal are by far the best footballing side in the world ATM . A perfect exa… https://t.co/vRgihhge59",0,Twitter for iPhone,
Old Luton Shirts,1379486237258567682,"Luton, England",2023-01-22 19:43:42,@footydevotion World football,0,Twitter for iPhone,
🟢🟡 Daniel Corns 🟢🟡,442404457,Stevenage,2023-01-22 19:41:50,"@jonmikesav8 Thoughts on weg?
I personally think hes the wrong option, kills our quick counter football.",0,Twitter for Android,
Frank Murray,1410169079890067459,Luton ,2023-01-22 19:35:16,Coldest Football Moments 🥶 https://t.co/KUQzPf5Uk6,0,Twitter for iPhone,
Steve Park,1002834092,"Letchworth, England",2023-01-22 19:32:29,@piersmorgan @EboyEym I’m Spurs but they are truly awful right now. I really don’t know what’s wrong with them righ… https://t.co/GZVWQ2zECH,0,Twitter for iPad,
B.,346787405,"Hitchin, Herts",2023-01-22 19:18:58,@simmzy76 @stotfoldfc @Eddie_Mac19 @PaulCFCDon Gutted to lose you. I’ve told you what I think but from a football p… https://t.co/jvdU6v6wJT,0,Twitter for iPhone,
SPARTAN_ADS,104507189,"London, England",2023-01-22 19:02:01,LET THE FOOTBALL DO THE TALKING  BOYS #ARSMAN #COYG ⚪️🔴⚪️🔴⚪️🔴 https://t.co/sWdwbXdrDZ,0,Twitter for Android,
Paul Dicker,976461449190166529,Spurs ST Holder ,2023-01-22 18:43:12,Let’s be honest. The football Arsenal are playing is what we all crave. Would be fucking glorious to watch if it wa… https://t.co/6fSFvjBUyo,0,Twitter for iPhone,
Anthony Field,198158187,"Radlett, England",2023-01-22 18:42:26,"Great game of football. Was like  vintage Arsenal v Man U from 1997/98
#ARSMUN",0,Twitter for iPhone,
Jason Condison,261656733,"Hitchin, England",2023-01-22 18:34:01,That game was football Heritage 🤌🏾,0,Twitter for Android,
Frank Murray,1410169079890067459,Luton ,2023-01-22 18:31:28,@NJayHighwayss @kfua_ @Tobjizzle Tell me you don’t watch football without telling me… look at all the players you’v… https://t.co/pimUlOzr2J,0,Twitter for iPhone,
christy22,1114281185889460224,"Enfield, London",2023-01-22 18:26:44,"Our players are so technically inferior to the top four it’s embarrassing, conte has worked a miracle to get us thi… https://t.co/FFuhD8KPDJ",0,Twitter for iPhone,
Matt Dawson,98447857,"Hitchin, England",2023-01-22 18:26:19,That was an astonishing last 20 minutes from Arsenal. Some of the best football I’ve seen us play in the Emirates era. A HUGE win!,0,Twitter for iPhone,
mikeymike2711,25047819,Hitchin,2023-01-22 18:24:50,FT 3-2. #ARSMUN a brilliant game of football. A brilliant win. I think our best this season,0,Twitter for iPhone,
Aidan,557597579,"Letchworth, Hertfordshire",2023-01-22 18:24:28,Proper game of football that,0,Twitter for Android,
God'sSon,1097153300468764677,"Hatfield, England",2023-01-22 18:15:44,Nobody in the world of football has better reflexes than DDG,0,Twitter for Android,
Lee Dunkley,1613161141898825729,"Hoddesdon, herts ",2023-01-22 18:12:44,@qprbenjamin163 Sky fucking up football fans weekends,0,Twitter for Android,
Stotfold Junior Ladies First Team FC,1231663694930751493,"Stotfold, England",2023-01-22 17:56:59,Last Saturday the Stotfold Co-op kindly allowed us to use their facilities to sell our raffle tickets as part of ou… https://t.co/KxMfsFKS2z,0,Twitter for iPhone,
Vincent Masterson,1020309280778522624,"Luton, England",2023-01-22 17:43:37,Two great goals by two English players. The future of English football is looking great! #ARSMUN,0,Twitter for iPhone,
Club Lewsey FC,3375505295,"Luton, England",2023-01-22 16:52:41,"A narrow 1-0 defeat in the National cup to SE Dons, referee was abysmal. Deserved a lot more than we got but that’s… https://t.co/fodT8HR2uN",3,Twitter for iPhone,
Jerry Shoolbred,432889341,East Herts.,2023-01-22 16:15:48,#PeggySue #tibetanterrier just LOVES her #football - even on a bitter cold day like today! #Loveher ❤️🐾 @ Presdales… https://t.co/I9ozCvmV0l,0,Instagram,"{'type': 'Point', 'coordinates': [-0.02640697, 51.79817753]}"
Pete Domican,20839094,Welwyn Garden City.,2023-01-22 15:59:02,"No doubting his pedigree as a manager but he’s never going to get the amount of money he wants, the football is awf… https://t.co/yBVoosXdNA",0,Twitter for iPhone,
Val Kavko,1560031047944904707,"Hitchin, England",2023-01-22 15:46:58,@CoastalPalace Just five teams have scored more than Newcastle (33) so far this season. Do you even know football… https://t.co/mFyExwuUQE,0,Twitter for iPhone,
charlie wood,2737458579,"Welwyn Garden City,",2023-01-22 15:09:01,I refuse to believe that this is Burnley football club https://t.co/10B4VSmAKP,0,Twitter for iPhone,
Jake 🐝,1475182638122127367,"Luton, England",2023-01-22 14:51:00,Up there with Bournemouth away for worst half of football i've seen,0,Twitter for Android,
Val Kavko,1560031047944904707,"Hitchin, England",2023-01-22 14:41:50,@AstroMag8 @CoastalPalace Palace were so dull yesterday. Pure dogsh*t football 💩,0,Twitter for iPhone,
🇾🇪 Paul McEvoy 🇾🇪,1385748081002622979,"Luton, England",2023-01-22 13:42:24,Er no they fucking don’t!!!! https://t.co/PaG5n1RLOB,0,Twitter for iPhone,
