username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Mo,2573368783,Hong Kong,2023-01-22 20:10:07,Try my best to look at the bright side: the widespread frustrations caused by games cancellations due to pitch cond… https://t.co/Xmq2ZJu22L,0,Twitter for iPhone,
Howard,1327939109784932352,Hong Kong,2023-01-22 16:59:46,"@NickRTFM Sup Nick, Howard. I play football and basketball in my free time, it'll be 1:30 am in Hong Kong.",0,Twitter Web App,
Haye Chan ⠕,22339584,Hong Kong,2023-01-22 16:56:26,@itsamia Right. In the same way that Americans call it NFL but not National “American” Football League. Lol. But it… https://t.co/OBxAwi8SxP,0,Twitter for iPhone,
@MillionAir,93605154,Hong Kong,2023-01-22 16:16:24,@rpramodhkumar Apron Control SUV for an apron that barely stretches across 2 football fields. #Overkill #Showoff,0,Twitter for iPhone,
Abhijeet ✪,75049951,City of Dreams,2023-01-22 16:02:03,"bottled 2 World Cups in 2/3 of our major Sports.

Thank fuck the national team is completely shite at football.

#HockeyWorldCup2023",0,Twitter for Android,
Mo,2573368783,Hong Kong,2023-01-22 13:53:14,True. Time for Women’s football infrastructures to step up https://t.co/YRtgmh7GkO,0,Twitter for iPhone,
Tony Brookes,151468029,Hong Kong,2023-01-22 11:41:55,"@davidicke Yeh ..US politics should be like the sponsorship you see in Football or Formula 1, where when they talk… https://t.co/HVRubPXGvB",0,Twitter for Android,
phil leb,2888245194,Victoria,2023-01-22 00:00:59,"@Neroli_Meadows football/soccer, baseball , frustrates me how the ruling bodies let this happen. do that on an AFL… https://t.co/Pd3EMT1m0F",0,Twitter Web App,
k a haldeman,1007246490698301440,Regional Victoria,2023-01-21 20:17:18,"Palestinian football club Balata is right.

@PUMA's new CEO has a choice:

Join growing global consensus refusing c… https://t.co/imzvymQiSi",0,Twitter for iPhone,
ay,1360112615695937536,city of dreams,2023-01-21 17:09:10,@dingdongpxxcked @vignesh_rma Dombivali football arena*,0,Twitter for Android,
Hongkonger Gonner,258842647,Hong Kong,2023-01-21 15:28:23,@hughwizzy He already looks like a star. He'll be one of the most important players in the world football but Chels… https://t.co/mnyMo8EJj7,0,Twitter for Android,
Noah Shusterman 孫達文,735671924815106048,Hong Kong,2023-01-21 14:57:06,"To quote former WIP dude Steve Martorano, ""football's like life. It kicks you in the head and it doesn't care.""

A… https://t.co/lMepZusl5x",0,Twitter Web App,
Noah Shusterman 孫達文,735671924815106048,Hong Kong,2023-01-21 14:56:08,"I've had a great time watching the #Eagles this season. Yes, I'd like that to continue. Yes, I think it should. But… https://t.co/BzINQtkrVr",0,Twitter Web App,
FPL TYKE 🇭🇰,1503615225081188352,Hong Kong,2023-01-21 14:13:06,@iqrahnadeem honey it’s football we’re playing here https://t.co/vUKTw6irFB,0,Twitter for iPhone,
Laure Rawlings,1551033783394205697,深圳,2023-01-21 11:11:20,What if the serious shot ate the football? 🚒 #推特增粉 #區塊鏈 #点赞评论转推 https://t.co/rvRre0igKo,0,Twitter Web App,
COTSWOLDS RADIO,1467840425717338119,Cotswolds ,2023-01-21 11:07:39,"Saturday Sports Desk live now. Online, on the app and on Alexa. #sport #radio #Saturday #football https://t.co/k9LCEXDwVU",2,Twitter for Android,
Mr. Obeng,1142756595144822784,Hong Kong,2023-01-21 09:33:50,@Football__Tweet Where is Ward-Prowse?,0,Twitter for iPhone,
South China Morning Post,23922797,Hong Kong,2023-01-21 09:09:13,"Hong Kong international Shinichi Chan makes Spain switch, set to make Real Union debut https://t.co/ucw0j0k87m",1,Echobox,
CW LUI,1492186529506082822,Hong Kong,2023-01-21 08:20:49,"Todd Boehly, boss of Chelsea  Football club vs Elon Musk. Wealth wise , Elon on top. But for both middle  aged men… https://t.co/8Jfkfdd1Z4",0,Twitter Web App,
Ubuy Hong Kong,1136587827435544576,Hong Kong,2023-01-21 04:00:30,"Breathable athletic footwear, Provides maximum traction for your sturdy ground outsole!

Shop Your Pair Now:… https://t.co/4z6ORo4ETr",0,Twitter Web App,
Jardine Fan,30869832,Hong Kong ,2023-01-20 20:40:50,@Billie_T And now Levy has to involve himself in football matters,0,Twitter for Android,
malee,1183581469169446913,Hong Kong,2023-01-20 15:01:29,"@GiantInsider Absolutely Love Shep, but he don’t have a lot of football left.",0,Twitter for iPhone,
Ricy L852,365595700,Hong Kong,2023-01-20 14:42:30,"@SlimCyclops @gaffer_football @ReidTheGame yes,we need a backup of Partey to keep the engine running when absent,… https://t.co/FPGOY3fTIW",0,Twitter for Android,
FrAnK_TeamZHOU&LN04_Gooner,905823991838851072,Shenzhen,2023-01-20 11:20:12,@curtisshaw9 Don't know why people keep arguing about who's the goat (before WC). Can't we just enjoy the football… https://t.co/1N2AriUtqQ,0,Twitter Web App,
South China Morning Post,23922797,Hong Kong,2023-01-20 10:55:24,Chinese football chiefs swept up in corruption investigation for suspected ‘severe violation of the law’ https://t.co/0gEWCN7jJh,2,Echobox,
Peter Mason,233554433,Hong Kong,2023-01-20 10:37:58,"@LikeGoinThisWay When I was 13 I was more interested in football, never entered my mind to think about wanting to b… https://t.co/ulChtcR9FO",0,Twitter Web App,
