username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Talk To Me Nice,1529338917656309761,"Seattle, WA",2023-01-22 22:00:11,Sunday dinner underway. Drinks on ice. Kinfolk on deck. Football Sunday in full effect,0,Twitter for iPhone,
"Jillian Whitton, rising 🏳️‍⚧️🐀",1175793589118308352,"Seattle, WA",2023-01-22 21:59:34,@HRM_Kristin_I I've long maintained that American football would actually be watchable if the teams were accurately… https://t.co/9yUET3eP3p,0,Twitter for Android,
Michael A Martin,55758627,"Shoreline, WA",2023-01-22 21:52:00,Afghan women’s football team in Kabul. https://t.co/L6A9zld0eg,0,Twitter Web App,
Van Hammersly,1480431332,"Gig Harbor, WA",2023-01-22 21:51:04,"@BenAxelrod Multiple sites still sell his jersey. Even Walmart…

https://t.co/FiBFg9YCWa",0,Twitter for iPhone,
Lindsay ♿✡️🏳️‍⚧️🏳️‍🌈🧣,2949412370,"Seattle, WA",2023-01-22 21:50:19,"Good afternoon, Tweeps! I'm pretending to care about football with my partner who is v. excited that it's apparentl… https://t.co/gqhr3DWvYi",0,Twitter for Android,
Sam Mancuso,923323307952300032,"Shoreline, WA ",2023-01-22 21:49:26,@J9Talley The Bills offensive coordinator is playing HS football and Cincinnati is playing pro football.,0,Twitter for iPad,
Rich,51884939,"Tacoma, WA",2023-01-22 21:43:35,"@Wallc49ers @ColeSmith78 No, because there's no ""football move"" like there is with other kinds of possession in the end zone.",0,Twitter Web App,
DawgFather2,901846721172447232,"Seattle, WA",2023-01-22 21:42:45,"@AlexAnstedCFB @UW_Football has something to say…Rome, JMac, Polk, Bernard, Jackson, and Davis… not to mention the guys coming up and in.",0,Twitter for iPhone,
Marcus Drain,190908771,"Seattle, WA",2023-01-22 21:42:30,Only two sundays left of football this season low key been turnt,0,Twitter for iPhone,
Jaket,1567666836094996480,Seattle,2023-01-22 21:42:21,@RyanBrigandi_ @NFL Hey! Someone who actually watches football!,0,Twitter Web App,
Jaket,1567666836094996480,Seattle,2023-01-22 21:41:05,"@hoots_21 @NFL Jamar Chase: Establishes possession out of bounds

Everybody who actually watches football: Not a catch",0,Twitter Web App,
Blitz the Seahawk,199390200,"Seattle, Washington",2023-01-22 21:40:03,@dannykanell @DeanBlandino @MikePereira @GeneSteratore Incomplete!  At the 6 second mark you can see the ball shift… https://t.co/RHTgUTcKqG,0,Twitter for iPhone,
Jaket,1567666836094996480,Seattle,2023-01-22 21:39:33,@Ajevans1995 @NathanS24017064 @BryanMln @NFL That's not how possession works. Watch football.,0,Twitter Web App,
Jaket,1567666836094996480,Seattle,2023-01-22 21:39:05,@GregHarris71 @NFL Out of bounds when he established possession. Watch football.,0,Twitter Web App,
Jaket,1567666836094996480,Seattle,2023-01-22 21:38:18,"@UMDPXP @NFL Oh Jeff, you're SO close to understanding football. Just keep watching buddy. You'll get it eventually.",0,Twitter Web App,
Jaket,1567666836094996480,Seattle,2023-01-22 21:36:52,@texmod81 @NFL Watch football.,0,Twitter Web App,
fuck bokai,14199284,Seattle,2023-01-22 21:32:31,"my favorite thing about football is 

endlessly litigating ball control",0,Twitter for iPhone,
(parody),1212962162320130050,"Kenmore, WA",2023-01-22 21:31:01,Arsenal strut past Manchester United with unmistakable aura of champions | Premier League | The Guardian https://t.co/eNDQKED1js,0,Twitter for iPhone,
Tom Crain,797229696,Seattle,2023-01-22 21:30:58,"@mlondo856 @rltsports “None of the producers in the Big-12 is departing”, huh? Texas and Oklahoma are far and away… https://t.co/5MU9YUcQya",0,Twitter for iPhone,
Just Plain Walt (Upsilon Male),15815556,"Seattle, WA",2023-01-22 21:30:50,Me and Freddie are watching football https://t.co/tnfvoSiwTZ,0,Twitter for iPhone,
Christopher MacGregor,1102355926659543043,Echo Lake ,2023-01-22 21:29:15,"@glooface good point. many man don't get paid lots of money for drawing pictures, compared to kicking ball in net t… https://t.co/LT2dcfPvnV",0,Twitter Web App,
